date,x_rotated,y_rotated,z
600394,-6597.625086155711,8028.168173533041,90
600774,-6409.231993143231,7972.7692339656505,90
600914,-6310.068524961193,7935.344555234767,90
601074,-6197.067668211678,7888.946210718227,91
601334,-6019.021214126711,7800.654307421436,92
601634,-5739.6351835983105,7635.947155343623,94
601914,-5636.586123043855,7567.962663591135,94
602274,-5405.936060972694,7405.664946827869,95
602934,-4992.600172666165,7065.056016472465,95
603254,-4756.242873773818,6802.796169640523,93
603634,-4563.641157030315,6563.997973023682,92
603974,-4467.439009341677,6441.7721705918975,92
604214,-4350.489755223555,6285.567586916466,93
604334,-4298.083568603587,6205.908365203264,93
604514,-4226.056471988208,6080.281547392899,93
604894,-4099.563744018039,5792.141668565505,93
605054,-4047.906863943152,5670.763883361916,92
605214,-3994.7872764650265,5550.750094878451,91
605434,-3919.852717886632,5386.81470537801,91
605634,-3849.396015779335,5236.478904158994,91
605834,-3780.3526657337193,5086.1924582815345,90
606054,-3707.661523601739,4918.797721639225,89
606334,-3625.391001930789,4701.540820105603,88
606414,-3604.949003972376,4638.563643926703,88
606634,-3548.100866568234,4463.231703671427,89
606854,-3483.9391921479,4294.719747016776,90
607054,-3411.970427295808,4147.161294579566,91
607354,-3279.3531637397105,3933.099010636568,92
607514,-3125.6747088613265,3734.574622950338,93
607954,-2859.9331487230047,3462.7982015756156,92
608354,-2684.305106374315,3305.2520472564233,90
608514,-2582.6290189617152,3218.211980342011,90
608814,-2384.970631303068,3063.434198382894,89
609094,-2103.350160749984,2881.668110881789,90
609514,-1835.8452579702548,2741.432141926575,91
609794,-1651.2166205707156,2659.2782238703467,92
609974,-1510.9762083385262,2602.73066179252,92
610234,-1322.3946703815514,2532.4668479066945,92
610534,-987.7129141577027,2431.6297413887046,91
610814,-857.8415669293901,2402.330711215283,91
611014,-695.4137669408425,2373.3098602477403,90
611194,-546.7246448366581,2356.089379189217,90
611534,-255.91960752113096,2336.0287143967707,90
611694,-13.455695930389645,2329.684301412324,91
612114,210.19941720621074,2331.779621878142,92
612294,453.15688221251855,2339.5687295105117,93
612694,678.5708348016974,2351.508159066544,93
612954,877.2298089020377,2367.2120442355167,93
613234,1094.6078471951364,2392.1677743960245,92
613574,1279.7255647773404,2425.3254377207436,91
613814,1444.3339762161127,2479.0103600323564,89
614154,1575.9596896641015,2560.733499713281,89
614394,1678.3985632323418,2657.6266221837127,89
614554,1742.47053334722,2729.680648064285,89
614894,1869.5959642477474,2885.1448716604395,89
615074,1936.8401258768852,2966.9936512896707,90
615234,1998.767390228462,3038.415034151737,91
615474,2096.5309859593785,3143.2543366568657,92
615554,2127.346552110497,3174.7249719028546,92
615773,2214.3282872616214,3254.46942468861,92
616154,2422.8852289825622,3391.5241657959796,92
616494,2589.5889908430786,3444.4283790644163,94
616714,2711.9269536126094,3462.797452677449,95
617394,3143.6005729459293,3485.222580808007,94
617654,3312.2830217016144,3493.4828157795796,93
617874,3459.0338358304552,3501.80138251444,93
618074,3593.746479764224,3509.832793621691,92
618254,3717.7849502230456,3516.1143416980944,92
618614,3968.688595264051,3528.5787271677887,91
618734,4053.7364956727342,3532.684166982797,91
618994,4239.379169168599,3540.3521378556898,91
619194,4485.944047341447,3550.1378852266903,92
619594,4674.898001954511,3551.322383468124,93
619754,4794.350928837391,3547.858533137426,94
619994,4972.86851026156,3533.8416460912576,94
620194,5122.140920042693,3513.0631072077517,95
620414,5391.193791254142,3457.677617294995,96
620814,5590.844345418517,3400.4704829334705,97
621054,5760.765150946021,3342.886458682953,98
621334,6048.797312712644,3223.1597958711714,100
621594,6148.346647205405,3176.5236510685786,100
621854,6331.216445152366,3084.5256239221358,99
622054,6471.595946987494,3011.699835464191,99
622293,6639.748936640689,2923.7534195582975,98
622493,6778.665731072579,2849.5636343802285,98
622754,6973.080145799046,2743.719242244577,97
622874,7055.6692555516265,2697.6753615406647,97
623214,7358.252206743883,2528.620466172963,95
623574,7522.748427888982,2437.264058466756,94
623834,7701.131392943114,2338.347337036575,93
624054,7932.9166278700795,2208.556717691987,94
624374,8065.34994967051,2131.0556513967194,94
624694,8257.758748236614,2008.3003898624447,94
624874,8350.914344359298,1940.6613855008532,95
625154,8533.034835761178,1806.9447948640222,97
625494,8615.081036756637,1745.3540414816111,97
625874,8688.597770040447,1682.6460680868586,98
626094,8739.065648685071,1628.52589416704,98
626254,8769.459442838544,1587.1348652240868,98
626614,8814.058539026755,1486.5221392934436,97
