date,x_rotated,y_rotated,z
600394,-9274.693479327263,7265.532730951278,89
600774,-9085.434416243128,7295.715624127964,88
600914,-9008.956362465917,7317.808774434111,88
601074,-8920.7766494628,7350.813898501258,88
601334,-8779.701669657048,7419.471382236151,88
601634,-8550.774511395615,7552.277090736745,91
601914,-8463.999174032448,7605.849852710611,91
602274,-8264.317187414052,7731.893909373867,91
602934,-7854.929636564276,7946.8400263642025,92
603254,-7550.520507778496,8052.953561372147,93
603634,-7297.849046863181,8095.780338497219,92
603974,-7153.292293839198,8102.052910151892,92
604214,-6954.157719166752,8090.853750807357,91
604334,-6866.094669690209,8079.995605620816,90
604514,-6735.2451920524945,8058.445334115865,90
604894,-6461.714464369949,7989.460255921684,90
605054,-6348.466830912651,7950.128671713552,90
605214,-6237.511969243324,7905.924388301869,90
605434,-6086.4089385916905,7836.261814936453,91
605634,-5952.364843363352,7764.364801546356,92
605834,-5821.344873624603,7686.913090592644,93
606054,-5679.46228546641,7596.346368351345,93
606334,-5501.918361218741,7473.402661872574,94
606414,-5450.80886313388,7437.656064754618,94
606634,-5312.829820191566,7336.612590404597,95
606854,-5177.825547397287,7231.427770552644,95
607054,-5060.414142361692,7128.979920562673,94
607354,-4892.9297014139265,6961.105080159429,94
607514,-4737.2456303751815,6779.491561871822,93
607954,-4526.3780239346615,6516.706759126219,92
608354,-4380.8835493770275,6326.958615859419,93
608514,-4307.434124278236,6221.800725272659,93
608814,-4193.091726840886,6011.206764893262,93
609094,-4064.3152035044777,5707.421302704257,92
609514,-3943.5162627008617,5438.583775746571,92
609794,-3860.595145167944,5260.218733579974,91
609974,-3798.757645033676,5126.457290790415,90
610234,-3718.7619423072347,4945.364255183567,89
610534,-3598.4745077626476,4621.35664247874,88
610814,-3557.639867187378,4493.988938059258,89
611014,-3502.1961054231865,4339.224635710701,90
611194,-3442.5033110522195,4204.8305499026355,91
611534,-3298.8843394737396,3961.3750282919323,92
611694,-3148.813297761895,3760.8540008670716,93
612114,-2989.275036848827,3588.3038826265038,92
612294,-2813.992481891034,3420.8642638755396,91
612694,-2636.9017321391057,3264.682106276472,90
612954,-2468.3808290186503,3126.487659168544,90
613234,-2250.2041587948406,2971.700900787696,90
613574,-2033.965796546374,2842.453190200232,91
613814,-1808.704413170694,2728.4562202419256,91
614154,-1589.8188153216288,2634.492955854946,91
614394,-1401.3359880477672,2561.402437845757,92
614554,-1274.8342536999412,2516.655245676951,92
614894,-1000.3343720297244,2434.900643586078,91
615074,-853.6508660859017,2400.7692931289316,92
615234,-721.4373917280617,2377.7563142207428,90
615474,-519.2383126462005,2353.0069219363395,90
615554,-452.2274780702129,2347.129163058193,90
615773,-277.85124214797514,2336.0870461600584,90
616154,100.49188873043286,2330.657928632898,92
616494,336.9658811052818,2335.1357551480687,93
616714,505.59897451941043,2341.98263805796,93
617394,1029.1988096253265,2383.131303614178,92
617654,1196.328816716391,2407.719120307425,92
617874,1324.7150304651013,2437.1975890476842,90
618074,1430.6850325931316,2473.1191514995776,89
618254,1517.1642379069588,2518.211801103354,89
618614,1673.96108568107,2652.121279961656,89
618734,1720.3818562739748,2704.980641077365,89
618994,1814.8835262292487,2817.716768275635,89
619194,1936.0594168337093,2964.8983008679265,90
619594,2032.6564372107273,3076.85371902302,91
619754,2095.799632257759,3142.5723382968035,92
619994,2204.8206891405725,3245.6034460077976,92
620194,2291.4075815592437,3314.0410823001,92
