date,x_rotated,y_rotated,z
600394,-4905.887670255114,6975.000800490194,94
600774,-4771.197482353637,6820.299303137826,93
600914,-4700.615140298033,6734.345053737661,92
601074,-4621.314885586287,6634.643150031401,92
601334,-4491.842884279257,6472.3409600352325,92
601634,-4294.673576803274,6202.251596695169,93
601914,-4232.679034222606,6093.248492655817,93
602274,-4113.926088499177,5826.6050268029885,93
602934,-3892.877891955203,5328.562162377991,91
603254,-3744.956059195488,5005.712148605331,90
603634,-3632.498141159023,4720.892527316867,88
603974,-3581.294435579877,4566.276290992981,88
604214,-3518.4070236182856,4381.535463299768,89
604334,-3483.306549129394,4292.575041253474,90
604514,-3419.9076309087745,4163.004299307404,91
604894,-3255.779353186863,3899.021518709807,92
605054,-3176.6271644997873,3795.0795588185024,93
605214,-3091.673501541315,3695.1802337460163,93
605434,-2904.50981883485,3503.2694318724534,92
605634,-2774.239155641182,3384.0991574283544,91
605834,-2649.9584116634064,3275.751122483873,90
606054,-2511.0595700749786,3160.524772175479,90
606334,-2329.037789356212,3023.9814774152846,90
606414,-2274.4195887879246,2987.4048159125955,90
606634,-2121.378250160949,2892.203194753797,90
606854,-1964.5320770012072,2804.6516215803563,91
607054,-1817.0364595161138,2732.9924084763106,91
607354,-1590.5008136816914,2635.2243095565655,91
607514,-1361.524330034628,2546.568966025416,92
607954,-1034.0080448023011,2443.1519320918464,91
608354,-810.7657272416159,2392.9038709338856,91
608514,-682.0116000256448,2372.1343084721107,90
608814,-437.4119590933338,2345.9042559410072,90
609094,-109.6129914662998,2331.627112576496,91
609514,186.12307681606555,2331.205310622923,92
609794,379.4651536388452,2336.481799024732,93
609974,522.608554601147,2342.803726020961,93
610234,711.9079966051083,2353.8816886941663,93
610534,1036.3149252752914,2384.297878968076,92
610814,1146.5160071666357,2399.5530928301364,92
611014,1276.8495053124204,2424.0107963421756,91
611194,1382.622086074224,2454.2789505473415,90
611534,1553.3864355970202,2542.418254674707,89
611694,1684.9807465469146,2663.7646074242753,89
612114,1794.8901995777478,2792.236052245539,89
612294,1905.8271383595402,2929.8696077969557,90
612694,2013.4931749439588,3054.8817054763504,91
612954,2122.227076199163,3169.950983382417,92
613234,2218.66705412978,3257.148062787303,92
613574,2362.389269536129,3361.089992722681,91
613814,2525.3958839687234,3429.6891446942864,94
614154,2699.1574297159173,3461.828298689778,95
614394,2850.9783644145364,3473.5075018833936,94
614554,2954.4491969666383,3478.3846743198465,94
614894,3175.475027346102,3486.232113715504,94
615074,3292.397382154958,3491.3470864380097,93
615234,3397.330922110298,3497.5882555945877,93
615474,3557.58261383745,3507.5579746771823,92
615554,3612.169411907643,3510.604526243136,92
615773,3765.986986344892,3518.676316270213,92
616154,4079.2261881245613,3533.209122896458,91
616494,4297.524025063774,3543.981977098593,92
616714,4444.176128509503,3549.47383971009,92
617394,4959.466343346363,3535.017197866887,94
617654,5154.499951436702,3507.6878781669034,95
617874,5318.9243911638805,3475.059614032821,95
618074,5467.604536846335,3437.3208504091353,96
618254,5600.639099167175,3397.2982914192103,97
618614,5863.387966269928,3303.218363505656,99
618734,5949.14926753677,3266.969236550401,99
618994,6133.728549594753,3183.4019664324915,100
619194,6371.512680159341,3063.3073901534485,99
619594,6552.9197707030635,2969.9453662868805,99
619754,6664.063077316887,2910.8762085567614,99
619994,6830.753359566843,2821.565795930742,98
620194,6969.620798657176,2745.9626586909912,97
620414,7218.070126274982,2607.099662877634,96
620814,7397.817088049238,2506.720234044213,95
621054,7562.313309194338,2415.3638263380067,94
621334,7835.758775848402,2262.892265821494,93
621594,7930.139279088273,2210.068780436782,94
621854,8092.392083786957,2115.253025588707,94
622054,8203.140547668329,2044.8770513651343,94
622293,8316.419583623721,1965.9222540883584,95
622493,8399.829781339304,1902.868793302709,95
622754,8506.091412327845,1825.5741247953983,96
622874,8547.504867347161,1795.826423315065,97
623214,8701.60509422319,1670.1636998177762,98
623574,8755.334898643458,1608.1467012048163,98
623834,8798.094397539438,1535.8997271909193,98
624054,8820.129216082298,1437.4900387868638,97
624374,8810.208822385333,1376.280678482273,97
624694,8769.957439531086,1277.2159209833485,97
624874,8741.129536696868,1221.6195900056584,97
625154,8665.871886848014,1092.6456153470967,97
625494,8601.248031554282,984.5264342228629,96
625874,8542.039784221224,889.6613539891572,96
626094,8489.561786227408,805.1743151810593,95
