date,x_rotated,y_rotated,z
600394,-10963.542045138693,3336.1180771183845,96
600774,-10970.536994073254,3500.5111143474683,97
600914,-10966.696253853564,3590.2342925934763,98
601074,-10955.977198269962,3694.5755684501364,98
601334,-10931.6809804813,3863.5361964116996,98
601634,-10881.702122107487,4139.853249297783,96
601914,-10865.63476674823,4214.998708852963,94
602274,-10809.141033244861,4455.003829787602,95
602934,-10657.221327951276,4915.258545291431,92
603254,-10525.250097156464,5229.7495534975515,92
603634,-10417.579557383217,5476.45799450624,91
603974,-10358.986000225203,5614.504345633572,90
604214,-10262.77931939181,5836.849290624506,89
604334,-10226.530192436554,5922.610591891346,89
604514,-10172.472823512926,6052.324896673258,89
604894,-10066.05859335496,6323.841031773711,88
605054,-10029.167846959466,6427.975909842414,89
605214,-9998.908639220104,6524.559450608872,89
605434,-9963.422268464565,6649.261966584293,90
605634,-9935.644277457668,6755.837682465637,90
605834,-9908.79506151862,6856.0779917401915,89
606054,-9871.370382787736,6955.241459922229,88
606334,-9799.679767185595,7063.113864338679,87
606414,-9773.202967902635,7091.905861485974,87
606634,-9691.68619605374,7156.98286131952,88
606854,-9597.310166046773,7205.337436698939,89
607054,-9502.16240341836,7235.26907993494,90
607354,-9347.119921863925,7258.156388938896,89
607514,-9161.665693312556,7280.689234130225,88
607954,-8902.78893897166,7359.383745132731,88
608354,-8752.305071727973,7434.0805034250725,89
608514,-8667.140507792716,7482.049212493769,89
608814,-8506.655489012413,7579.745470083741,91
609094,-8291.08114232462,7715.140082421645,91
609514,-8083.0671093608025,7836.647950850516,92
609794,-7935.4593015820365,7910.03006776429,92
609974,-7821.197632028412,7960.520372485279,93
610234,-7663.458559531821,8020.105479751402,93
610534,-7373.151548864763,8087.08935510627,92
610814,-7257.395769409805,8099.32044347874,92
611014,-7111.5737303488095,8101.3036036068115,91
611194,-6954.157719166752,8090.853750807357,91
611534,-6702.886160658486,8053.070105075017,90
611694,-6484.812674350692,7996.634703334937,89
612114,-6286.337671961945,7926.025402058213,90
612294,-6078.758890606333,7832.456980403688,91
612694,-5890.630527145099,7728.9547153975645,92
612954,-5718.879100747095,7622.486656665139,93
613234,-5513.660399364474,7481.595618615055,94
613574,-5321.794509555492,7343.293484402282,95
613814,-5136.609513744196,7196.026660825584,95
614154,-4972.772864882796,7045.260111187191,94
614394,-4841.878535092353,6903.426848414628,93
614554,-4758.288868854005,6804.99023074538,93
614894,-4584.002397149077,6588.76528819562,92
615074,-4482.344262579939,6460.688656150883,92
615234,-4399.100083732488,6352.358574049863,92
615474,-4288.683657587382,6191.42935719555,93
615554,-4255.956712726113,6135.806096952668,93
615773,-4176.001388919498,5973.8179918493015,93
616154,-4025.6566711906034,5619.044168334912,92
616494,-3929.05520753661,5406.947121632451,91
616714,-3859.329859130932,5255.929322053372,91
617394,-3635.661356251552,4731.616056133372,88
617654,-3566.546224788016,4522.601466683787,88
617874,-3506.1400295588915,4347.85281410546,90
618074,-3437.877388556452,4195.471017806257,91
618254,-3363.2703645254924,4062.6787290043694,92
618614,-3188.804424297799,3811.070629571011,93
618734,-3123.628713781139,3732.3805618454803,93
618994,-2971.543079487202,3569.2886863844055,92
619194,-2754.9951355347625,3367.861309968063,91
619594,-2586.72100912209,3222.600102551726,90
619754,-2480.073511822826,3136.093967972706,89
619994,-2315.2004007887354,3015.007811629628,90
620194,-2170.589819190293,2921.5156745818513,90
620414,-1898.4589939147963,2771.9201735302586,91
620814,-1695.1202687442296,2678.4998179004024,91
621054,-1502.5948066515496,2599.6078256198166,92
621334,-1178.3000682750396,2484.982685875907,91
621594,-1062.0283093281512,2451.205799231388,91
621854,-844.4887553557493,2399.7418073779722,91
622054,-674.262841357174,2371.1561780627085,90
622293,-467.0429970470921,2348.354070175379,90
622493,-270.0531281379477,2336.5222678123378,90
622754,-29.002568608887987,2330.2272101694475,91
622874,68.61743433026042,2329.6483957254004,92
623214,449.5988243875362,2338.985441833562,93
623574,640.9936168132414,2349.2826954635916,93
623834,831.8051215619976,2363.1380069186034,93
624054,1049.8158028736023,2385.9490313158103,92
624374,1166.4510020548494,2403.1021742333883,92
624694,1339.7279708082074,2441.6260901772253,90
624874,1427.8089731282116,2471.804510121009,89
625154,1609.5032492554699,2589.2787201527926,89
625494,1732.913579884614,2719.401317321791,89
625874,1826.001897778206,2832.1867998616176,89
626094,1903.5837219131256,2926.4102606550864,90
626254,1961.9035730981639,2995.835003778522,90
626614,2111.9387690349376,3158.98965427986,92
627014,2283.4614015245465,3309.3658044627755,91
627294,2389.054513763585,3375.0171155515404,92
627474,2482.4524133611503,3415.622932262488,93
627814,2679.9537885293234,3458.9612156465887,95
627994,2792.833508519361,3469.8776626404906,95
628973,3422.138616202062,3498.8445652098685,93
629173,3556.1692617757685,3507.6073300187386,92
629394,3817.065081931659,3522.5529322208995,92
629834,4014.0639272625344,3531.2394124230204,91
629954,4099.79382603128,3534.6134985364097,91
630314,4403.7722063976835,3547.3470867902506,92
630674,4624.6993260940335,3552.367822062545,93
630874,4774.563999973848,3548.549507919219,94
631094,5045.434042401162,3524.9397617235213,94
631434,5195.289739859243,3500.6031650150335,95
631654,5361.710819325053,3464.3674877144117,96
631934,5571.936836281263,3406.083512260371,97
632054,5661.50297208087,3377.4844332904736,97
632394,5912.213668988551,3283.1173497493105,99
632614,6144.837944721979,3177.353715453311,100
632914,6289.506858083709,3105.7932130323793,100
633174,6476.468646191045,3009.4070636762203,99
633414,6721.023405014701,2880.585598319304,99
633854,6967.525448235433,2746.743367734167,97
633914,7010.549676682657,2722.599719159004,97
634114,7155.6044563551095,2641.8277506663626,96
634434,7490.102240867364,2454.6774577026777,95
634874,7703.908741724921,2336.835274291779,94
635034,7811.493990513762,2277.182828884712,93
635294,7971.068157113754,2186.705840904794,93
635493,8079.918691939606,2122.7639839711246,93
635753,8246.016710090882,2016.4933466049254,94
636094,8354.324336159612,1937.0046169927573,95
636334,8437.783889216751,1875.3645082687897,95
636534,8495.762726243795,1833.7177261963225,96
636734,8597.151658028784,1758.7158294769824,97
637134,8677.636440937891,1692.9343752510836,98
637534,8732.927663444509,1635.1080774816126,98
637734,8768.09544611842,1588.597572627325,98
638054,8808.463462543315,1508.651195286514,97
638194,8816.39168973455,1472.2899079935137,97
638454,8815.287919376842,1400.1595975061919,97
638694,8794.495930838704,1331.5469659240264,97
638874,8770.738148574263,1279.311271405092,97
639114,8734.349932016068,1209.8281965183687,97
639154,8727.57032733527,1198.03680303108,97
639434,8677.919033464817,1113.451053539868,97
639614,8644.070365402378,1055.9074381651042,96
639954,8572.034262409341,938.1415693168827,96
640114,8501.559577502654,824.5664013121491,96
640554,8403.481896878937,670.2104213066048,95
640994,8298.288100605254,514.6878659471625,94
641174,8243.764107531251,432.3948882439222,93
641354,8187.728051712454,347.3245617588749,93
641514,8138.323534549784,269.805572576071,92
641674,8087.406954642321,189.509234611461,91
641894,8016.932269735635,75.9340666067278,90
642233,7900.373325205211,-101.1252806471051,88
642414,7839.356883078018,-207.24782203270757,88
642574,7770.3449055745705,-319.458993317316,87
642814,7685.104057032563,-430.3959021431818,86
642994,7625.518919810513,-495.53123374001586,85
643254,7493.736163916124,-602.0127121711478,85
643574,7372.11160200475,-660.7363525544432,84
643794,7260.784323679333,-687.9803812700195,83
644054,7123.047554255974,-701.5664899408843,82
644154,7069.290820570514,-701.1043390234125,83
644374,6952.130665475606,-692.7677894891638,82
644634,6810.073082027551,-667.9959711283965,83
644814,6709.684706728326,-645.3868113743919,83
645014,6598.285646984989,-613.9026965178437,83
645214,6485.720011887754,-575.3024660113308,83
645474,6338.314128664042,-521.3348313490843,83
645734,6186.816255279957,-462.9790744771228,84
645894,6091.892843282963,-425.70246177090934,85
646134,5949.55708062903,-368.37419064990684,85
646334,5787.730521160893,-301.8748323770209,86
646774,5629.847885828462,-244.0036524988953,87
646934,5560.454545203121,-225.30701438250088,87
