date,x_rotated,y_rotated,z
600394,-9781.979212322065,7083.721881165225,87
600774,-9681.545954914187,7163.704134237032,88
600914,-9620.269286424576,7196.233657732075,89
601074,-9545.007163342822,7224.0295716265055,89
601334,-9411.74825039056,7251.215268578794,90
601634,-9183.745393964069,7276.507509708467,88
601914,-9059.015948723456,7302.575986648415,88
602274,-8865.4001659277,7376.474083054119,88
602934,-8500.903370082573,7582.374752840877,91
603254,-8248.424827344656,7741.244465048516,91
603634,-8031.199328309129,7863.138199788109,92
603974,-7913.182179564295,7919.865200432774,92
604214,-7759.485741886523,7985.251781970293,92
604334,-7679.934207278166,8014.312981901736,93
604514,-7558.36797713008,8051.104987658187,93
604894,-7292.877636976516,8096.314270832612,92
605054,-7176.637280527723,8102.160597256737,92
605214,-7047.290889213073,8098.351259535142,91
605434,-6873.112074657061,8081.6557343902805,91
605634,-6726.083081322342,8057.417848364906,90
605834,-6580.081573738582,8024.017851609378,90
606054,-6421.853451015253,7976.040136163024,90
606334,-6224.257868352795,7900.508780341194,90
606414,-6168.513471350436,7875.92093369202,90
606634,-6017.60786206503,7800.604952079879,92
606854,-5869.825088952328,7716.907568780761,93
607054,-5737.539833176566,7635.166446300448,94
607354,-5544.01381459812,7503.881717054527,94
607514,-5352.147924789138,7365.579582841754,95
607954,-5092.665486650856,7157.700136292047,95
608354,-4931.80360793749,7002.792241151722,94
608514,-4845.288526892666,6907.083616922724,94
608814,-4689.119878860084,6719.085336686771,92
609094,-4483.708259300064,6462.151363554121,92
609514,-4309.480119358423,6223.994786377517,93
609794,-4213.493345879473,6055.079010568681,93
609974,-4151.803911769875,5917.077511594077,93
610234,-4074.100980831405,5731.1117767836795,92
610534,-3931.0024919336843,5411.967886860672,91
610814,-3875.105555673752,5290.442035632412,91
611014,-3804.6982089080116,5138.692882351714,90
611194,-3742.3267764383513,4999.960029675491,90
611534,-3636.9759976301207,4734.492115598292,88
611694,-3557.007224168872,4491.844232295957,88
612114,-3474.7860578394784,4273.173978700654,90
612294,-3355.2344502294127,4049.6624283998945,92
612694,-3221.342924214572,3851.829015495458,93
612954,-3078.7155327001274,3681.284513415252,93
613234,-2882.5378052881806,3484.106169605685,92
613574,-2691.1744453164965,3311.152232210933,91
613814,-2493.861545048746,3146.4809858200447,89
614154,-2302.094365922878,3005.3521474839085,90
614394,-2126.932947724562,2895.227320243387,90
614554,-2007.6056607899889,2827.381918093838,91
614894,-1744.6279698229139,2699.332185358367,91
615074,-1600.9775657904122,2639.1278547724446,92
615234,-1473.2599007471313,2588.677899015355,92
615474,-1279.0249545434294,2518.2166637633027,92
615554,-1213.970380786247,2496.8413875482147,92
615773,-1032.5946927406194,2443.1025767502897,91
616154,-646.0945108066541,2367.3423671082114,90
616494,-404.954217016212,2343.3557310235224,90
616714,-224.14386380407177,2334.2115431809048,90
617394,347.5906992386725,2335.4722661172345,93
617654,568.665884959693,2344.7330575745736,93
617874,750.2165682951833,2356.7891506571814,93
618074,901.3555046337395,2369.1997075524164,93
618254,1026.3721055019632,2383.2300142972913,92
618614,1251.2117468359236,2419.2457842434687,92
618734,1320.4256189384996,2435.932303010673,91
618994,1453.6935083124918,2483.636282528124,89
619194,1606.577834448993,2586.5507267125427,89
619594,1710.0441937681928,2692.6059599131268,89
619754,1769.0460433132932,2761.299349334943,89
619994,1853.3581167874556,2865.9008515540195,89
620194,1925.7217543279273,2952.523619703688,89
620414,2062.7900050017834,3109.0557079706277,91
620814,2158.7947612801217,3204.050901385542,92
621054,2261.6195011590844,3291.732557784264,91
621334,2458.079940921665,3406.56850863718,93
621594,2536.8014111452903,3432.1210060851968,94
621854,2694.1860198292534,3461.294366354385,95
622054,2819.785908374426,3471.7666152742772,95
622293,2972.8721291100564,3479.1564069412916,94
622493,3099.687948350684,3483.9258922729005,94
622754,3281.7725640215667,3491.010575468844,93
622874,3360.485057823461,3496.0447903516974,93
623214,3658.276097607745,3513.94720985843,92
623574,3824.131842240067,3522.306155513116,92
623834,4007.6791653141886,3530.7548354291844,91
624054,4252.148693065291,3541.3212918433615,91
624374,4398.118798150957,3547.544508156477,92
624694,4638.83284671085,3551.874268646978,93
624874,4773.882001613785,3549.2808616208386,94
625154,5091.195240710366,3518.3889809070442,95
625494,5332.959201097584,3471.739356493891,96
625874,5528.567120443141,3420.3336964037626,96
626094,5692.982583748589,3367.1871497045177,98
626254,5811.735559427943,3323.4180879451146,98
626614,6089.874256762795,3204.0369125242287,100
627014,6406.985571304321,3045.795280234414,99
627294,6564.711164190352,2963.1657616060807,99
627474,6694.61391391676,2894.243518364016,99
627814,6940.433958777428,2761.1326414804985,97
627994,7070.237997820722,2689.38369411507,96
628973,7773.293105928531,2297.620353610223,94
629173,7898.224445768275,2228.164178032765,93
629394,8106.229472354434,2106.2793598030494,94
629834,8240.462012527269,2019.5174720945151,94
629954,8290.207513892006,1985.233582379797,95
630314,8440.511882657001,1872.439093462313,95
630674,8537.17618126311,1803.970024715989,97
630874,8595.105662948597,1760.90989058184,97
631094,8674.177093796021,1695.1777916974977,98
631434,8717.973054864691,1652.611210978916,98
631654,8759.377533462277,1602.3452269334196,98
631934,8798.727040557944,1533.7550214276182,98
632054,8809.67939323877,1502.9484316982312,97
632394,8817.096114170978,1411.4170586580885,97
632614,8790.64174096438,1322.483565876987,97
632914,8763.909188551906,1266.1065258561214,98
633174,8724.595557187236,1193.8954575291477,97
633414,8667.334594251251,1094.009612067222,97
633854,8602.028740597458,986.6217846446074,96
633914,8589.299595620592,966.547700153455,96
634114,8546.526617114052,896.5800482728955,96
634434,8437.13314357515,722.1006284346424,95
634874,8356.468862187354,600.3908354507158,94
635034,8310.187181197387,531.2532479548895,94
635294,8231.865026939118,415.8295062361952,93
635493,8170.561429184316,321.74513504566517,92
635753,8065.6547885382415,154.1844094911504,91
636094,7975.819419998561,12.98381969302058,90
636334,7895.155138610764,-108.725973290906,88
636534,7837.113466631604,-210.7071691745767,88
636734,7718.360460996322,-389.8125115085974,86
637134,7562.671856812821,-552.7697406437088,85
637534,7446.839792751114,-627.9690287733488,84
637734,7349.933190670123,-667.7447810995641,84
638054,7181.874408511212,-698.6680043996004,83
638194,7106.769327875857,-701.7055795438232,83
638454,6964.8014786891845,-694.6253396248551,82
638694,6832.538648989788,-673.0257127783482,83
638874,6732.150273690563,-650.4165530243436,83
639114,6598.285646984989,-613.9026965178437,83
639154,6575.918790705866,-606.0462507445288,83
639434,6415.842094268576,-550.2210659465906,83
639614,6306.201873977817,-508.89284199982734,83
639954,6113.528345860467,-434.24090590428676,85
640114,5951.652431050774,-369.1548996930826,85
640554,5755.618266474668,-289.43284302776436,87
640994,5597.587565117567,-235.80171933468364,87
641174,5524.685522008799,-216.2750168335565,87
641354,5455.9248244019645,-199.72308448046303,88
641514,5399.103586307088,-185.71070062312347,88
641674,5347.105692074207,-175.40444061543678,88
641894,5277.999507076475,-168.74597269411487,88
642233,5180.814725789605,-175.96527226009545,86
642414,5132.119136252192,-192.66076744902995,86
642574,5095.995649245244,-214.0405168970202,86
642814,5049.920366043237,-257.00641358095766,86
642994,5023.928143754112,-292.18317267659813,86
643254,4990.317275977725,-363.1783103081167,87
643574,4974.595408009363,-428.43030543152565,87
643794,4969.013781180558,-486.96102763742346,87
644054,4970.687359604655,-560.6034008695401,87
644154,4973.208955256948,-589.7005064879062,87
644374,4982.196070697238,-656.5228961193977,86
644634,4999.753032769,-741.3329962420291,85
644814,5013.859624120624,-803.3813973530832,85
645014,5030.398076863158,-876.8353256407044,85
645214,5042.49905205442,-955.794596150382,85
645474,5046.546160106141,-1062.7741311859097,85
