date,x_rotated,y_rotated,z
600394,-10886.049865397375,4116.656328633926,97
600774,-10850.446831115261,4285.222113863037,94
600914,-10828.133803410596,4377.130376792171,94
601074,-10800.3558124037,4483.706092673514,95
601334,-10749.73983777848,4656.700379032165,93
601634,-10647.170821073103,4939.671396650741,92
601914,-10603.796602046154,5047.117555836643,93
602274,-10499.100832420938,5289.684651343399,91
602934,-10297.467028260711,5755.278690201153,90
603254,-10172.472823512926,6052.324896673258,89
603634,-10068.450075826042,6316.141628446797,88
603974,-10022.823463930947,6447.56541733973,89
604214,-9977.286586297234,6596.680784674462,89
604334,-9957.809239137663,6668.169475721547,90
604514,-9932.373375260295,6768.459140337658,89
604894,-9869.808964701384,6959.4321607657175,88
605054,-9829.230047299701,7027.35381756609,87
605214,-9776.85973641073,7088.495869685662,87
605434,-9689.492134948883,7159.028856399708,88
605634,-9598.723518108454,7205.386792040496,89
605834,-9496.459639830076,7236.485010630396,90
606054,-9376.217027482291,7255.634793286604,90
606334,-9216.449912748974,7271.989274317544,88
606414,-9153.136225600909,7281.8064541425665,88
606634,-9002.522245176015,7319.706703489629,88
606854,-8883.38787641884,7367.904236422646,88
607054,-8773.21819702559,7422.7826633533505,88
607354,-8610.054540146593,7516.140154075163,90
607514,-8445.181399156576,7617.928401825509,91
607954,-8208.64457182961,7766.034206296818,92
608354,-8041.290214107127,7857.830278932279,92
608514,-7941.211420511876,7907.400785007153,92
608814,-7748.712857728462,7989.828349124504,93
609094,-7476.335225789256,8070.174012474744,93
609514,-7219.136553061287,8100.814553380073,91
609794,-7037.3974247813,8098.005772144245,91
609974,-6900.598406847519,8084.738191643158,91
610234,-6723.987730900598,8056.63713932173,90
610534,-6419.758100593509,7975.259427119849,90
610814,-6306.559822477768,7934.514490850034,90
611014,-6167.831472990373,7875.189579990401,90
611194,-6044.699351523034,7814.99422582621,91
611534,-5819.249523202859,7686.132381549468,93
611694,-5625.526083258185,7560.501060550274,94
612294,-5259.77303770963,7295.845228058419,95
612694,-5090.570136229112,7156.919427248871,95
612954,-4943.397580058552,7015.225254079248,94
613234,-4773.925475793886,6823.224717944303,93
613574,-4621.947528604794,6636.7878557947015,92
613814,-4468.1210077017395,6442.503524293516,92
614154,-4333.63721758822,6261.63033612926,93
614394,-4234.62631861968,6098.269257884038,93
614554,-4179.26331469514,5981.714816542442,93
614894,-4070.8390550557624,5723.214952090539,93
615074,-4011.8776143864147,5588.138867922411,92
615234,-3957.9773178651135,5470.220429860691,92
615474,-3875.738198692258,5292.586741395713,91
615554,-3848.0813744007664,5233.6028446940745,91
615773,-3773.146815822372,5069.667455193634,90
616154,-3636.9759976301207,4734.492115598292,88
616494,-3558.9051532243893,4498.278349585859,89
616714,-3504.1927451618176,4342.83204887724,90
617394,-3224.703560673328,3856.8991360652353,93
617654,-3086.217514660815,3689.329404133063,93
617874,-2957.171758584333,3555.3436107120847,92
618074,-2839.374487238016,3443.684294650404,91
618254,-2726.88513674753,3342.1158643867216,91
618614,-2495.225541768871,3147.943693223283,90
618734,-2416.6880432568396,3087.1830042256042,90
618994,-2237.0487685874264,2963.4585887036583,90
619194,-1991.6235664592114,2819.0408953266874,91
619594,-1794.768313920104,2722.309258579632,91
619754,-1671.438771086538,2667.7673126621676,91
619994,-1483.736652855852,2592.581444231234,92
620194,-1325.8540175234205,2534.7102643531084,92
620414,-1041.7074481292152,2445.5434145629306,91
620814,-833.9626479054718,2397.2516142237746,91
621054,-639.0771058398024,2365.6822383387466,90
621334,-313.13568834846023,2338.734281760657,90
621594,-199.38552505386411,2334.054500734504,90
621854,12.033996521436936,2330.2092573259856,91
622054,172.67155455931132,2330.967510336871,92
622293,366.013631382091,2336.2439987386792,93
622493,522.608554601147,2342.803726020961,93
622754,725.4088742034191,2355.5328410419006,93
622874,807.679425830296,2361.1503436017038,93
623214,1079.693617535144,2390.565977389847,92
623574,1217.7265190078426,2412.6321984308015,92
623834,1358.2989689762956,2446.637878983715,90
624054,1515.7508858452768,2518.2611564449103,89
624374,1597.1195916695006,2579.098100093412,89
624694,1713.7503176178454,2697.429303775121,89
624874,1772.8015225045024,2767.5360452586187,89
625154,1907.2898457627784,2931.2336045170805,90
625494,2015.6872360488164,3056.927700556538,91
625874,2112.670122736557,3159.6716526399227,92
626094,2160.939467043422,3204.6835444040476,92
626254,2226.6625895060342,3263.236692686309,92
626614,2394.806632693425,3377.646398308677,92
627014,2629.458980619506,3451.5265418709196,94
627294,2760.9096987776315,3467.4547776713116,95
627474,2868.719298197892,3475.010588206458,94
627814,3076.2936063206016,3482.620227316063,94
627994,3189.657903304475,3487.1519123616195,94
628973,3838.3147181984405,3523.225954159231,92
629173,3976.4867092740783,3529.013948820068,91
629394,4245.081932756882,3541.5680685511447,92
629834,4447.002832632867,3549.375129026976,92
629954,4534.828081823356,3551.968506097189,93
630314,4844.5002493563115,3545.399742481323,94
630674,5067.266966344892,3522.054725836871,94
630874,5216.391310101355,3497.0361307683206,95
631094,5484.416695561844,3432.4885301254103,96
631434,5632.850064536514,3387.6830061933165,97
631654,5794.290757693928,3330.3951139921405,98
631934,5996.56161819371,3246.917578135613,100
632054,6082.9062071375,3207.1103933553754,100
632394,6324.97974922869,3088.2811031133447,100
632614,6550.824420281318,2970.726075330056,99
632914,6691.836565134953,2895.7555811088105,98
633174,6875.1909400757495,2797.3727920140213,97
633414,7112.580227907885,2665.9713992415254,96
633854,7349.2381620384,2533.888008108967,95
633914,7390.849038423944,2509.7937148753604,95
634114,7529.66712217272,2432.7772255739283,94
634434,7840.631475051954,2260.5994940335236,93
634874,8023.057074924905,2155.8812983319444,93
635034,8111.1021715579855,2103.9865880150787,94
635294,8237.0026653854,2021.7608885409293,94
635493,8324.020276267522,1960.704067493911,95
635753,8447.430576940738,1867.952260569485,95
636094,8552.328211209157,1792.1202994654127,97
636334,8628.869069982557,1734.9670236342731,97
636534,8641.925749506858,1723.8980074268716,97
636734,8723.42904174519,1646.7603813659628,98
637134,8792.835832025165,1547.4039650505997,98
637534,8815.857757399159,1477.261317880177,97
637734,8818.123599921937,1420.5791693882409,97
638054,8792.203159050732,1326.674266720476,97
638194,8773.762274063853,1284.8659689687058,97
638454,8732.88722461283,1208.4641997982435,97
638694,8692.160241186479,1136.3024868128273,97
638874,8658.360928465596,1080.1722234997444,96
639114,8612.51446912791,1003.2365219938908,96
