date,x_rotated,y_rotated,z
600394,-8450.982873427973,7613.885767006691,91
600774,-8309.167563498873,7703.743531666809,91
600914,-8231.069759872022,7751.959017443289,92
601074,-8138.641014262129,7805.334358050929,92
601334,-7982.938960423995,7887.631808987072,92
601634,-7715.030208534155,8002.095343183898,93
601914,-7606.96485598438,8037.236196592616,93
602274,-7357.505965503151,8089.373150472509,92
602934,-6868.921373813573,8080.094316303928,90
603254,-6531.740448013796,8010.301599801379,90
603634,-6274.4475677915425,7922.072501500777,90
603974,-6135.817928987261,7859.920886517782,91
604214,-5971.806284835999,7774.949240759921,92
604334,-5891.312525505162,7729.686069099183,92
604514,-5772.182659936815,7656.187258702908,93
604894,-5526.7664342303315,7491.251282760774,94
605054,-5424.596793402165,7418.344736463178,94
605214,-5323.158506275617,7344.756191805521,95
605434,-5186.10823840115,7237.377310848711,95
605634,-5065.870129242192,7134.830750175626,95
605834,-4952.994912440983,7024.050853840235,94
606054,-4833.694554771603,6894.650603995198,93
606334,-4689.070523518528,6720.498688748453,92
606414,-4648.397398622561,6669.550706342895,92
606634,-4537.922640714167,6530.553124115427,92
606854,-4418.72997014963,6377.807887581864,92
607054,-4323.555308211952,6246.419974419928,93
607354,-4204.241500887938,6036.359946375923,93
607514,-4106.136950910881,5806.521965890105,93
607954,-3967.1798075150914,5490.352846115131,91
608354,-3869.7976348179222,5280.351149834413,91
608514,-3814.533341576496,5160.970004369455,91
608814,-3714.185375153024,4934.591371025506,89
609094,-3599.15650612271,4622.0879961803585,88
609514,-3502.2454607647433,4337.811283649019,90
609794,-3418.642344871763,4158.714887780802,91
609974,-3341.841259735946,4027.9685940591025,92
610234,-3227.431554113578,3859.824550871712,93
610534,-2994.098380710821,3592.0100064761564,92
610814,-2895.5451294709246,3496.5885378747676,92
611014,-2770.0978101392507,3381.124387280321,91
611194,-2655.463753885463,3280.1886000351446,90
611534,-2432.5714269045034,3098.3507311161184,89
611694,-2223.2113800199495,2954.4849229180018,90
612114,-2018.7150559172155,2833.430169073018,91
