date,x_rotated,y_rotated,z
600394,-7801.065215773971,7969.722862135257,92
600774,-7621.977796327486,8032.807695463075,92
600914,-7524.102040258823,8059.813923892599,93
601074,-7371.056198443019,8086.308646063094,92
601334,-6946.3102498151675,8092.702324521318,91
601634,-6635.489459771776,8037.980880125161,90
601914,-6521.214340563518,8007.811406647182,90
602274,-6268.892870227929,7919.048376011187,90
602934,-5819.93152156292,7686.863735251088,93
603254,-5526.084435870269,7490.519929059155,94
603634,-5299.041786965646,7326.225572557259,95
603974,-5175.779552317099,7229.233709447787,95
604214,-5033.668140294585,7104.69718238457,94
604334,-4965.952881282171,7037.946574170999,94
604514,-4867.745117433171,6932.631641137838,94
604894,-4465.39301426149,6439.57810948704,92
605054,-4386.922823934477,6336.367503297355,93
605214,-4312.791400475622,6230.478259008976,93
605434,-4224.741830609639,6077.405487927978,93
605634,-4156.380478924086,5927.850395752138,93
605834,-4093.0892478083106,5774.934667117542,93
606054,-4021.0307486948363,5609.684636238533,92
606334,-3925.743926419411,5400.463649000992,91
606414,-3898.0871021279195,5341.479752299353,91
606634,-3821.7885468294,5176.081655395674,91
606854,-3746.903343592562,5010.732913833552,90
607054,-3682.9301141167243,4857.085831497337,88
607354,-3599.1071507811535,4623.501348242041,88
607514,-3521.0363063754226,4387.287582229608,89
607954,-3371.988277181635,4076.4263833104637,92
608354,-3242.9694503703454,3880.885742193998,93
608514,-3161.7219112615257,3776.163073259517,93
608814,-2992.0523856306336,3589.8159453712988,92
609094,-2872.159763862573,3477.3759202664423,92
609514,-2649.9584116634064,3275.751122483873,90
609794,-2495.225541768871,3147.943693223283,89
609974,-2376.6879402992045,3057.4846580868275,90
610234,-2209.373991452473,2945.511257132345,90
610534,-1902.6496947582848,2773.4815916166103,91
610814,-1780.8322146695139,2716.1622969173386,91
611014,-1627.4857675714672,2649.959070693793,91
611194,-1487.245355339278,2593.411508615967,92
611534,-1220.2564320514796,2499.183514677742,92
611694,-982.1088612525327,2430.018967960796,91
612114,-755.2097751837517,2383.180898603148,90
612294,-250.31555461596085,2334.4179409688622,90
612694,-13.455695930389645,2329.684301412324,91
612954,141.52845386075802,2330.639975789436,92
613234,402.1281419673085,2337.105465621507,93
613574,642.4069688749232,2349.2333401220353,93
613814,858.0755230570002,2365.7583132540094,93
614154,1039.872983100274,2384.8811666450256,92
614394,1187.7993490047443,2406.6019002950834,91
614554,1280.4569184789596,2426.007436080806,91
614894,1457.3009214790309,2485.6329222667546,89
615074,1538.907427589307,2533.018343658502,89
615234,1608.0405418522316,2587.914723432668,89
615474,1705.606716216921,2687.10061769107,89
615554,1736.5703483927098,2722.8113091221035,89
615773,1818.589650078901,2822.540112137629,89
616154,1993.5985589755712,3032.227693569618,91
616494,2107.550646825223,3154.8976641194854,92
616714,2177.760602180663,3220.3695066854852,92
617394,2443.017645237003,3400.726655445958,93
617654,2591.0023429047606,3444.37902372286,94
617874,2725.4278312109204,3464.4486050251835,95
618074,2848.151660291173,3473.606212566507,94
